[np.float64(0.0), np.float64(0.0)]
[np.float64(-1.4634146341463414), np.float64(-0.6504065040650406)]
[np.float64(5.691056910569106), np.float64(-0.16260162601626016)]
[np.float64(10.731707317073171), np.float64(0.16260162601626016)]
[np.float64(-0.6504065040650406), np.float64(-0.48780487804878053)]
[np.float64(-3.0894308943089435), np.float64(-0.9756097560975611)]
[np.float64(-0.48780487804878053), np.float64(-1.7886178861788617)]
[np.float64(-1.9512195121951221), np.float64(-1.7886178861788617)]
[np.float64(7.317073170731707), np.float64(-0.48780487804878053)]
[np.float64(9.59349593495935), np.float64(-0.3252032520325203)]
[np.float64(10.731707317073171), np.float64(-0.16260162601626016)]
[np.float64(0.6504065040650406), np.float64(-1.6260162601626018)]
[np.float64(-0.48780487804878053), np.float64(-1.9512195121951221)]
[np.float64(0.48780487804878053), np.float64(-1.4634146341463414)]
[np.float64(10.56910569105691), np.float64(-0.3252032520325203)]
[np.float64(1.1382113821138211), np.float64(-1.3008130081300813)]
[np.float64(7.8048780487804885), np.float64(-0.9756097560975611)]
[np.float64(-0.8130081300813009), np.float64(-1.7886178861788617)]
[np.float64(-1.9512195121951221), np.float64(-1.9512195121951221)]
[np.float64(-1.7886178861788617), np.float64(-1.9512195121951221)]
